Node;L2;L3;L4;L5
M00005;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030 map00230 map01200 map01230 map01100]
M00008;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030 map01200 map01100 map01120]
M00308;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map00030 map01200 map01100 map01120]
M00633;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00030 map00052 map01200 map01100]
M00309;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00030 map00052 map01200 map01100 map01120]
M00014;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
M00630;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; D-Galacturonate degradation (fungi), D-galacturonate => glycerol [PATH:map00040 map01100]
M00631;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040 map00030 map01100]
M00061;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P [PATH:map00040 map00030 map01100]
M00081;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Pectin degradation [PATH:map00040 map01100]
M00632;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052 map01100]
M00552;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052 map01100]
M00129;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Ascorbate biosynthesis, animals, glucose-1P => ascorbate [PATH:map00040 map00053 map01100]
M00114;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010 map00051 map00053 map01100 map01110]
M00550;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Ascorbate degradation, ascorbate => D-xylulose-5P [PATH:map00053 map01100 map01120]
M00854;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
M00855;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
M00565;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
M00549;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Nucleotide sugar biosynthesis, glucose => UDP-glucose [PATH:map00520 map01100]
M00554;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00520 map00052 map01100]
M00761;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N [PATH:map00520 map01100]
M00012;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Glyoxylate cycle [PATH:map00630 map01200 map01100 map01110]
M00373;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120]
M00740;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Methylaspartate cycle [PATH:map00020 map00250 map00630 map01200 map01100 map01120]
M00532;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Photorespiration [PATH:map00630 map01200 map01100 map01110]
M00013;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410 map00640 map01200 map01100]
M00741;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA [PATH:map00280 map00630 map00640 map01200 map01100]
M00130;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562 map01100]
M00131;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562 map01100]
M00132;KEGG - Module;Carbohydrate metabolism;Other carbohydrate metabolism; Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562 map01100]
M00165;KEGG - Module;Energy metabolism;Carbon fixation; Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710 map01200 map01100 map01120]
M00166;KEGG - Module;Energy metabolism;Carbon fixation; Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map00710 map01200 map01100 map01120]
M00167;KEGG - Module;Energy metabolism;Carbon fixation; Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map00710 map01200 map01100 map01120]
M00168;KEGG - Module;Energy metabolism;Carbon fixation; CAM (Crassulacean acid metabolism), dark [PATH:map00620 map00710 map01200 map01100 map01120]
M00169;KEGG - Module;Energy metabolism;Carbon fixation; CAM (Crassulacean acid metabolism), light [PATH:map00620 map00710 map01200 map01100 map01120]
M00172;KEGG - Module;Energy metabolism;Carbon fixation; C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map00620 map00710 map01200 map01100 map01120]
M00171;KEGG - Module;Energy metabolism;Carbon fixation; C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map00710 map01200 map01100 map01120]
M00170;KEGG - Module;Energy metabolism;Carbon fixation; C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map00710 map01200 map01100 map01120]
M00173;KEGG - Module;Energy metabolism;Carbon fixation; Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
M00376;KEGG - Module;Energy metabolism;Carbon fixation; 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
M00375;KEGG - Module;Energy metabolism;Carbon fixation; Hydroxypropionate-hydroxybutylate cycle [PATH:map00720 map01200 map01100 map01120]
M00374;KEGG - Module;Energy metabolism;Carbon fixation; Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120]
M00377;KEGG - Module;Energy metabolism;Carbon fixation; Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) [PATH:map00720 map01200 map01100 map01120]
M00579;KEGG - Module;Energy metabolism;Carbon fixation; Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate [PATH:map00430 map00620 map00720 map01200 map01100 map01120]
M00620;KEGG - Module;Energy metabolism;Carbon fixation; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]
M00567;KEGG - Module;Energy metabolism;Methane metabolism; Methanogenesis, CO2 => methane [PATH:map00680 map01200 map01100 map01120]
M00357;KEGG - Module;Energy metabolism;Methane metabolism; Methanogenesis, acetate => methane [PATH:map00680 map01200 map01100 map01120]
M00356;KEGG - Module;Energy metabolism;Methane metabolism; Methanogenesis, methanol => methane [PATH:map00680 map01200 map01100 map01120]
M00563;KEGG - Module;Energy metabolism;Methane metabolism; Methanogenesis, methylamine/dimethylamine/trimethylamine => methane [PATH:map00680 map01200 map01100 map01120]
M00358;KEGG - Module;Energy metabolism;Methane metabolism; Coenzyme M biosynthesis [PATH:map00680 map01100 map01120]
M00608;KEGG - Module;Energy metabolism;Methane metabolism; 2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate [PATH:map00300 map00680 map01210 map01230 map01100 map01120]
M00174;KEGG - Module;Energy metabolism;Methane metabolism; Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]
M00346;KEGG - Module;Energy metabolism;Methane metabolism; Formaldehyde assimilation, serine pathway [PATH:map00680 map01200 map01100 map01120]
M00345;KEGG - Module;Energy metabolism;Methane metabolism; Formaldehyde assimilation, ribulose monophosphate pathway [PATH:map00030 map00680 map01200 map01230 map01100 map01120]
M00344;KEGG - Module;Energy metabolism;Methane metabolism; Formaldehyde assimilation, xylulose monophosphate pathway [PATH:map00680 map01200 map01100 map01120]
M00378;KEGG - Module;Energy metabolism;Methane metabolism; F420 biosynthesis [PATH:map00680 map01100 map01120]
M00422;KEGG - Module;Energy metabolism;Methane metabolism; Acetyl-CoA pathway, CO2 => acetyl-CoA [PATH:map00680 map01200 map01100 map01120]
M00175;KEGG - Module;Energy metabolism;Nitrogen metabolism; Nitrogen fixation, nitrogen => ammonia [PATH:map00910 map01100 map01120]
M00531;KEGG - Module;Energy metabolism;Nitrogen metabolism; Assimilatory nitrate reduction, nitrate => ammonia [PATH:map00910 map01100 map01120]
M00530;KEGG - Module;Energy metabolism;Nitrogen metabolism; Dissimilatory nitrate reduction, nitrate => ammonia [PATH:map00910 map01100 map01120]
M00529;KEGG - Module;Energy metabolism;Nitrogen metabolism; Denitrification, nitrate => nitrogen [PATH:map00910 map01100 map01120]
M00528;KEGG - Module;Energy metabolism;Nitrogen metabolism; Nitrification, ammonia => nitrite [PATH:map00910 map01100 map01120]
M00804;KEGG - Module;Energy metabolism;Nitrogen metabolism; Complete nitrification, comammox, ammonia => nitrite => nitrate [PATH:map00910 map01100 map01120]
M00176;KEGG - Module;Energy metabolism;Sulfur metabolism; Assimilatory sulfate reduction, sulfate => H2S [PATH:map00920 map01100 map01120]
M00596;KEGG - Module;Energy metabolism;Sulfur metabolism; Dissimilatory sulfate reduction, sulfate => H2S [PATH:map00920 map01100 map01120]
M00595;KEGG - Module;Energy metabolism;Sulfur metabolism; Thiosulfate oxidation by SOX complex, thiosulfate => sulfate [PATH:map00920 map01100 map01120]
M00161;KEGG - Module;Energy metabolism;Photosynthesis; Photosystem II [PATH:map00195] [BR:ko00194]
M00163;KEGG - Module;Energy metabolism;Photosynthesis; Photosystem I [PATH:map00195] [BR:ko00194]
M00597;KEGG - Module;Energy metabolism;Photosynthesis; Anoxygenic photosystem II [BR:ko00194]
M00598;KEGG - Module;Energy metabolism;Photosynthesis; Anoxygenic photosystem I [BR:ko00194]
M00144;KEGG - Module;Energy metabolism;ATP synthesis; NADH:quinone oxidoreductase, prokaryotes [PATH:map00190]
M00145;KEGG - Module;Energy metabolism;ATP synthesis; NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria [PATH:map00190]
M00142;KEGG - Module;Energy metabolism;ATP synthesis; NADH:ubiquinone oxidoreductase, mitochondria [PATH:map00190]
M00143;KEGG - Module;Energy metabolism;ATP synthesis; NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]
M00146;KEGG - Module;Energy metabolism;ATP synthesis; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [PATH:map00190]
M00147;KEGG - Module;Energy metabolism;ATP synthesis; NADH dehydrogenase (ubiquinone) 1 beta subcomplex [PATH:map00190]
M00149;KEGG - Module;Energy metabolism;ATP synthesis; Succinate dehydrogenase, prokaryotes [PATH:map00190]
M00150;KEGG - Module;Energy metabolism;ATP synthesis; Fumarate reductase, prokaryotes [PATH:map00190]
M00148;KEGG - Module;Energy metabolism;ATP synthesis; Succinate dehydrogenase (ubiquinone) [PATH:map00190]
M00162;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome b6f complex [PATH:map00195]
M00151;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome bc1 complex respiratory unit [PATH:map00190]
M00152;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome bc1 complex [PATH:map00190]
M00154;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome c oxidase [PATH:map00190]
M00155;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome c oxidase, prokaryotes [PATH:map00190]
M00153;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome bd ubiquinol oxidase [PATH:map00190]
M00417;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome o ubiquinol oxidase [PATH:map00190]
M00416;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome aa3-600 menaquinol oxidase [PATH:map00190]
M00156;KEGG - Module;Energy metabolism;ATP synthesis; Cytochrome c oxidase, cbb3-type [PATH:map00190]
M00157;KEGG - Module;Energy metabolism;ATP synthesis; F-type ATPase, prokaryotes and chloroplasts [PATH:map00190 map00195]
M00158;KEGG - Module;Energy metabolism;ATP synthesis; F-type ATPase, eukaryotes [PATH:map00190]
M00159;KEGG - Module;Energy metabolism;ATP synthesis; V-type ATPase, prokaryotes [PATH:map00190]
M00160;KEGG - Module;Energy metabolism;ATP synthesis; V-type ATPase, eukaryotes [PATH:map00190]
M00082;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid biosynthesis, initiation [PATH:map00061 map01212 map01100]
M00083;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid biosynthesis, elongation [PATH:map00061 map01212 map01100]
M00873;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid biosynthesis in mitochondria, animals [PATH:map00061 map01212 map01100]
M00874;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid biosynthesis in mitochondria, fungi [PATH:map00061 map01212 map01100]
M00085;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid elongation in mitochondria [PATH:map00062 map01212 map01100]
M00415;KEGG - Module;Lipid metabolism;Fatty acid metabolism; Fatty acid elongation in endoplasmic reticulum [PATH:map00062 map01040 map01212 map01100]
M00086;KEGG - Module;Lipid metabolism;Fatty acid metabolism; beta-Oxidation, acyl-CoA synthesis [PATH:map00061 map00071 map01212 map01100]
M00087;KEGG - Module;Lipid metabolism;Fatty acid metabolism; beta-Oxidation [PATH:map00071 map01212 map01100]
M00861;KEGG - Module;Lipid metabolism;Fatty acid metabolism; beta-Oxidation, peroxisome, VLCFA [PATH:map01040 map01212 map01100]
M00101;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100 map01100]
M00102;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Ergocalciferol biosynthesis [PATH:map00100 map01100 map01110]
M00103;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Cholecalciferol biosynthesis [PATH:map00100 map01100]
M00104;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate [PATH:map00120 map01100]
M00106;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate [PATH:map00120 map01100]
M00862;KEGG - Module;Lipid metabolism;Sterol biosynthesis; beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA [PATH:map00120 map01100]
M00107;KEGG - Module;Lipid metabolism;Sterol biosynthesis; Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone [PATH:map00140 map01100]
M00108;KEGG - Module;Lipid metabolism;Sterol biosynthesis; C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140 map01100]
M00109;KEGG - Module;Lipid metabolism;Sterol biosynthesis; C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140 map01100]
M00110;KEGG - Module;Lipid metabolism;Sterol biosynthesis; C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140 map01100]
M00088;KEGG - Module;Lipid metabolism;Lipid metabolism; Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072 map01100]
M00089;KEGG - Module;Lipid metabolism;Lipid metabolism; Triacylglycerol biosynthesis [PATH:map00561 map01100]
M00098;KEGG - Module;Lipid metabolism;Lipid metabolism; Acylglycerol degradation [PATH:map00561 map01100]
M00090;KEGG - Module;Lipid metabolism;Lipid metabolism; Phosphatidylcholine (PC) biosynthesis, choline => PC [PATH:map00564 map01100]
M00091;KEGG - Module;Lipid metabolism;Lipid metabolism; Phosphatidylcholine (PC) biosynthesis, PE => PC [PATH:map00564 map01100]
M00092;KEGG - Module;Lipid metabolism;Lipid metabolism; Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE [PATH:map00564 map01100]
M00093;KEGG - Module;Lipid metabolism;Lipid metabolism; Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE [PATH:map00564 map01100]
M00094;KEGG - Module;Lipid metabolism;Lipid metabolism; Ceramide biosynthesis [PATH:map00600 map01100]
M00066;KEGG - Module;Lipid metabolism;Lipid metabolism; Lactosylceramide biosynthesis [PATH:map00600 map01100]
M00067;KEGG - Module;Lipid metabolism;Lipid metabolism; Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid [PATH:map00600 map00565 map01100]
M00099;KEGG - Module;Lipid metabolism;Lipid metabolism; Sphingosine biosynthesis [PATH:map00600 map01100]
M00100;KEGG - Module;Lipid metabolism;Lipid metabolism; Sphingosine degradation [PATH:map00600 map01100]
M00113;KEGG - Module;Lipid metabolism;Lipid metabolism; Jasmonic acid biosynthesis [PATH:map00592 map01100 map01110]
M00048;KEGG - Module;Nucleotide metabolism;Purine metabolism; Inosine monophosphate biosynthesis, PRPP + glutamine => IMP [PATH:map00230 map01100]
M00049;KEGG - Module;Nucleotide metabolism;Purine metabolism; Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230 map01100]
M00050;KEGG - Module;Nucleotide metabolism;Purine metabolism; Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230 map01100]
M00546;KEGG - Module;Nucleotide metabolism;Purine metabolism; Purine degradation, xanthine => urea [PATH:map00230 map01100]
M00051;KEGG - Module;Nucleotide metabolism;Pyrimidine metabolism; Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP [PATH:map00240 map01100]
M00052;KEGG - Module;Nucleotide metabolism;Pyrimidine metabolism; Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240 map01100]
M00053;KEGG - Module;Nucleotide metabolism;Pyrimidine metabolism; Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240 map01100]
M00046;KEGG - Module;Nucleotide metabolism;Pyrimidine metabolism; Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate [PATH:map00240 map01100]
M00020;KEGG - Module;Amino acid metabolism;Serine and threonine metabolism; Serine biosynthesis, glycerate-3P => serine [PATH:map00260 map00680 map01200 map01230 map01100]
M00018;KEGG - Module;Amino acid metabolism;Serine and threonine metabolism; Threonine biosynthesis, aspartate => homoserine => threonine [PATH:map00260 map01230 map01100 map01110]
M00555;KEGG - Module;Amino acid metabolism;Serine and threonine metabolism; Betaine biosynthesis, choline => betaine [PATH:map00260 map01100]
M00033;KEGG - Module;Amino acid metabolism;Serine and threonine metabolism; Ectoine biosynthesis, aspartate => ectoine [PATH:map00260 map01210 map01230 map01100 map01120]
M00021;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Cysteine biosynthesis, serine => cysteine [PATH:map00270 map00920 map01200 map01230 map01100 map01110]
M00338;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Cysteine biosynthesis, homocysteine + serine => cysteine [PATH:map00260 map00270 map01230 map01100]
M00609;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Cysteine biosynthesis, methionine => cysteine [PATH:map00270 map01230 map01100]
M00017;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Methionine biosynthesis, apartate => homoserine => methionine [PATH:map00270 map01230 map01100]
M00034;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Methionine salvage pathway [PATH:map00270 map01100]
M00035;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Methionine degradation [PATH:map00270 map01100]
M00368;KEGG - Module;Amino acid metabolism;Cysteine and methionine metabolism; Ethylene biosynthesis, methionine => ethylene [PATH:map00270 map01100 map01110]
M00019;KEGG - Module;Amino acid metabolism;Branched-chain amino acid metabolism; Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map00290 map00770 map01210 map01230 map01100 map01110]
M00535;KEGG - Module;Amino acid metabolism;Branched-chain amino acid metabolism; Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map00290 map00660 map01210 map01230 map01100]
M00570;KEGG - Module;Amino acid metabolism;Branched-chain amino acid metabolism; Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map00290 map01230 map01100]
M00432;KEGG - Module;Amino acid metabolism;Branched-chain amino acid metabolism; Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map00290 map01210 map01230 map01100 map01110]
M00036;KEGG - Module;Amino acid metabolism;Branched-chain amino acid metabolism; Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280 map01100]
M00016;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map00300 map01230 map01100]
M00525;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map00300 map01230 map01100]
M00526;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map00300 map01230 map01100]
M00527;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map00300 map01230 map01100 map01110]
M00030;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine [PATH:map00300 map01230 map01100]
M00433;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate [PATH:map00300 map01210 map01230 map01100]
M00031;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine [PATH:map00300 map01210 map01230 map01100]
M00032;KEGG - Module;Amino acid metabolism;Lysine metabolism; Lysine degradation, lysine => saccharopine => acetoacetyl-CoA [PATH:map00310 map01100]
M00028;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Ornithine biosynthesis, glutamate => ornithine [PATH:map00220 map01210 map01230 map01100]
M00763;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Ornithine biosynthesis, mediated by LysW, glutamate => ornithine [PATH:map00220 map01210 map01230 map01100]
M00844;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Arginine biosynthesis, ornithine => arginine [PATH:map00220 map01230 map01100]
M00845;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Arginine biosynthesis, glutamate => acetylcitrulline => arginine [PATH:map00220 map01230 map01100]
M00029;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Urea cycle [PATH:map00220 map01230 map01100]
M00015;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Proline biosynthesis, glutamate => proline [PATH:map00330 map01230 map01100]
M00047;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Creatine pathway [PATH:map00330 map01100]
M00879;KEGG - Module;Amino acid metabolism;Arginine and proline metabolism; Arginine succinyltransferase pathway, arginine => glutamate [PATH:map00330 map01100]
M00133;KEGG - Module;Amino acid metabolism;Polyamine biosynthesis; Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine [PATH:map00330 map01100]
M00134;KEGG - Module;Amino acid metabolism;Polyamine biosynthesis; Polyamine biosynthesis, arginine => ornithine => putrescine [PATH:map00330 map01100]
M00135;KEGG - Module;Amino acid metabolism;Polyamine biosynthesis; GABA biosynthesis, eukaryotes, putrescine => GABA [PATH:map00330 map01100]
M00136;KEGG - Module;Amino acid metabolism;Polyamine biosynthesis; GABA biosynthesis, prokaryotes, putrescine => GABA [PATH:map00330 map01100]
M00026;KEGG - Module;Amino acid metabolism;Histidine metabolism; Histidine biosynthesis, PRPP => histidine [PATH:map00340 map01230 map01100 map01110]
M00045;KEGG - Module;Amino acid metabolism;Histidine metabolism; Histidine degradation, histidine => N-formiminoglutamate => glutamate [PATH:map00340 map01100]
M00022;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate [PATH:map00400 map01230 map01100 map01110]
M00023;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Tryptophan biosynthesis, chorismate => tryptophan [PATH:map00400 map01230 map01100 map01110]
M00024;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Phenylalanine biosynthesis, chorismate => phenylalanine [PATH:map00400 map01230 map01100 map01110]
M00025;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Tyrosine biosynthesis, chorismate => tyrosine [PATH:map00400 map01230 map01100]
M00040;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine [PATH:map00400 map01230 map01100 map01110]
